"filename", "language", "XML", "JSON", "C#", "Batch", "Markdown", "Log", "Shell Script", "YAML", "ShaderLab", "HLSL", "comment", "blank", "total"
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/HistoryModel.cs", "C#", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 56, 37, 220
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/IChangesModel.cs", "C#", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 92, 25, 157
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/IHistoryModel.cs", "C#", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 61, 18, 109
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/IMainModel.cs", "C#", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 70, 21, 124
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/IModel.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 17, 6, 37
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/IStartModel.cs", "C#", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 18, 7, 39
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/MainModel.cs", "C#", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 41, 41, 216
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/Providers/Collab.cs", "C#", 0, 0, 720, 0, 0, 0, 0, 0, 0, 0, 173, 128, 1021
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/README.md", "Markdown", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/StartModel.cs", "C#", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 11, 15, 82
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/Structures/ChangeEntry.cs", "C#", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 2, 4, 58
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/Structures/ErrorInfo.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/Structures/HistoryEntry.cs", "C#", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/Structures/IChangeEntry.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 4, 3, 35
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/Structures/IChangeEntryData.cs", "C#", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/Structures/IErrorInfo.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/Structures/IHistoryEntry.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/Structures/IProgressInfo.cs", "C#", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Models/Structures/ProgressInfo.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 11, 39
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Presenters/ChangesPresenter.cs", "C#", 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 61, 40, 319
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Presenters/HistoryPresenter.cs", "C#", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 42, 29, 242
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Presenters/IChangesPresenter.cs", "C#", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 70, 19, 115
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Presenters/IHistoryPresenter.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 23, 7, 46
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Presenters/IMainPresenter.cs", "C#", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 20, 6, 39
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Presenters/IPresenter.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 2, 16
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Presenters/IStartPresenter.cs", "C#", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Presenters/MainPresenter.cs", "C#", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 47, 28, 243
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Presenters/README.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Presenters/StartPresenter.cs", "C#", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 10, 13, 137
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Properties/AssemblyInfo.cs", "C#", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/README.md", "Markdown", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Settings/CollabSetting.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 1, 17
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Settings/CollabSettings.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 21, 5, 48
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Settings/CollabSettingsManager.cs", "C#", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 24, 7, 42
"/home/artem/Documents/GithubProjects/ProjectXClient/LibraryBacj/PackageCache/com.unity.collab-proxy@1.3.9/Editor/Settings/CollabSettingsProvider.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 1, 24
