"filename", "language", "Markdown", "Shell Script", "XML", "JSON", "C#", "Batch", "Log", "ShaderLab", "comment", "blank", "total"
"/home/artem/Documents/GithubProjects/ProjectXClient/Assets/Packages/System.Runtime.CompilerServices.Unsafe.4.5.2/lib/netstandard2.0/System.Runtime.CompilerServices.Unsafe.xml", "XML", 0, 0, 200, 0, 0, 0, 0, 0, 0, 0, 200
"/home/artem/Documents/GithubProjects/ProjectXClient/Assets/PeopleController.cs", "C#", 0, 0, 0, 0, 148, 0, 0, 0, 3, 28, 179
"/home/artem/Documents/GithubProjects/ProjectXClient/Assets/PeopleManager.cs", "C#", 0, 0, 0, 0, 24, 0, 0, 0, 3, 6, 33
"/home/artem/Documents/GithubProjects/ProjectXClient/Assets/Private.cs", "C#", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"/home/artem/Documents/GithubProjects/ProjectXClient/Assets/PropertyLabel.cs", "C#", 0, 0, 0, 0, 34, 0, 0, 0, 2, 5, 41
"/home/artem/Documents/GithubProjects/ProjectXClient/Assets/ProtoConverter.cs", "C#", 0, 0, 0, 0, 23, 0, 0, 0, 0, 5, 28
"/home/artem/Documents/GithubProjects/ProjectXClient/Assets/Role.cs", "C#", 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"/home/artem/Documents/GithubProjects/ProjectXClient/Assets/Saveable.cs", "C#", 0, 0, 0, 0, 101, 0, 0, 0, 2, 19, 122
"/home/artem/Documents/GithubProjects/ProjectXClient/Assets/ScrollAndPitch.cs", "C#", 0, 0, 0, 0, 69, 0, 0, 0, 12, 21, 102
"/home/artem/Documents/GithubProjects/ProjectXClient/Assets/Shaders/TerrainShader.shader", "ShaderLab", 0, 0, 0, 0, 0, 0, 0, 29, 0, 3, 32
"/home/artem/Documents/GithubProjects/ProjectXClient/Assets/TerrainGenerator.cs", "C#", 0, 0, 0, 0, 114, 0, 0, 0, 4, 31, 149
"/home/artem/Documents/GithubProjects/ProjectXClient/Assets/Tree.cs", "C#", 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"/home/artem/Documents/GithubProjects/ProjectXClient/Assets/TreeGenerator.cs", "C#", 0, 0, 0, 0, 70, 0, 0, 0, 2, 20, 92
"/home/artem/Documents/GithubProjects/ProjectXClient/Assets/Utility.cs", "C#", 0, 0, 0, 0, 84, 0, 0, 0, 7, 22, 113
"/home/artem/Documents/GithubProjects/ProjectXClient/Logs/AssetImportWorker0-prev.log", "Log", 0, 0, 0, 0, 0, 0, 1505, 0, 0, 129, 1634
"/home/artem/Documents/GithubProjects/ProjectXClient/Logs/Packages-Update.log", "Log", 0, 0, 0, 0, 0, 0, 63, 0, 0, 13, 76
"/home/artem/Documents/GithubProjects/ProjectXClient/Packages/manifest.json", "JSON", 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 44
"/home/artem/Documents/GithubProjects/ProjectXClient/Packages/packages-lock.json", "JSON", 0, 0, 0, 331, 0, 0, 0, 0, 0, 1, 332
"/home/artem/Documents/GithubProjects/ProjectXClient/README.md", "Markdown", 18, 0, 0, 0, 0, 0, 0, 0, 0, 14, 32
"/home/artem/Documents/GithubProjects/ProjectXClient/updateProto.bat", "Batch", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/home/artem/Documents/GithubProjects/ProjectXClient/updateProto.sh", "Shell Script", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"Total", "-", 18, 4, 13784, 374, 2039, 4, 1568, 29, 121, 865, 18806
