Date : 2020-10-25 11:27:01
Directory : /home/artem/Documents/GithubProjects/ProjectXClient
Total : 56 files,  16162 codes, 112 comments, 690 blanks, all 16964 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| XML          |          7 |     13,770 |          7 |        177 |     13,954 |
| C#           |         41 |      1,822 |        105 |        478 |      2,405 |
| JSON         |          2 |        374 |          0 |          2 |        376 |
| Log          |          2 |        147 |          0 |         18 |        165 |
| ShaderLab    |          1 |         29 |          0 |          3 |         32 |
| Markdown     |          1 |         12 |          0 |         11 |         23 |
| Batch        |          1 |          4 |          0 |          0 |          4 |
| Shell Script |          1 |          4 |          0 |          1 |          5 |
+--------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                              |         56 |     16,162 |        112 |        690 |     16,964 |
| Assets                                                                                                                                                                         |         48 |     14,910 |        105 |        657 |     15,672 |
| Assets/Packages                                                                                                                                                                |          6 |     13,059 |          0 |        176 |     13,235 |
| Assets/Packages/Google.Protobuf.3.13.0                                                                                                                                         |          1 |      9,859 |          0 |        173 |     10,032 |
| Assets/Packages/Google.Protobuf.3.13.0/lib                                                                                                                                     |          1 |      9,859 |          0 |        173 |     10,032 |
| Assets/Packages/Google.Protobuf.3.13.0/lib/netstandard2.0                                                                                                                      |          1 |      9,859 |          0 |        173 |     10,032 |
| Assets/Packages/Google.Protobuf.Tools.3.13.0                                                                                                                                   |          1 |         11 |          0 |          1 |         12 |
| Assets/Packages/Google.Protobuf.Tools.3.13.0/buildCrossTargeting                                                                                                               |          1 |         11 |          0 |          1 |         12 |
| Assets/Packages/System.Buffers.4.4.0                                                                                                                                           |          1 |         39 |          0 |          0 |         39 |
| Assets/Packages/System.Buffers.4.4.0/lib                                                                                                                                       |          1 |         39 |          0 |          0 |         39 |
| Assets/Packages/System.Buffers.4.4.0/lib/netstandard2.0                                                                                                                        |          1 |         39 |          0 |          0 |         39 |
| Assets/Packages/System.Memory.4.5.2                                                                                                                                            |          1 |        353 |          0 |          2 |        355 |
| Assets/Packages/System.Memory.4.5.2/lib                                                                                                                                        |          1 |        353 |          0 |          2 |        355 |
| Assets/Packages/System.Memory.4.5.2/lib/netstandard2.0                                                                                                                         |          1 |        353 |          0 |          2 |        355 |
| Assets/Packages/System.Numerics.Vectors.4.4.0                                                                                                                                  |          1 |      2,597 |          0 |          0 |      2,597 |
| Assets/Packages/System.Numerics.Vectors.4.4.0/lib                                                                                                                              |          1 |      2,597 |          0 |          0 |      2,597 |
| Assets/Packages/System.Numerics.Vectors.4.4.0/lib/netstandard2.0                                                                                                               |          1 |      2,597 |          0 |          0 |      2,597 |
| Assets/Packages/System.Runtime.CompilerServices.Unsafe.4.5.2                                                                                                                   |          1 |        200 |          0 |          0 |        200 |
| Assets/Packages/System.Runtime.CompilerServices.Unsafe.4.5.2/lib                                                                                                               |          1 |        200 |          0 |          0 |        200 |
| Assets/Packages/System.Runtime.CompilerServices.Unsafe.4.5.2/lib/netstandard2.0                                                                                                |          1 |        200 |          0 |          0 |        200 |
| Assets/Shaders                                                                                                                                                                 |          1 |         29 |          0 |          3 |         32 |
| Logs                                                                                                                                                                           |          2 |        147 |          0 |         18 |        165 |
| Packages                                                                                                                                                                       |          2 |        374 |          0 |          2 |        376 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                                                                       | language     | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/artem/Documents/GithubProjects/ProjectXClient/Assembly-CSharp.csproj                                                                                                     | XML          |        711 |          7 |          1 |        719 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/ActivateObjectScript.cs                                                                                             | C#           |         20 |          1 |          7 |         28 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/BottomPanelLogic.cs                                                                                                 | C#           |         12 |          0 |          5 |         17 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/BuildItem.cs                                                                                                        | C#           |         51 |          1 |         10 |         62 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/BuildManager.cs                                                                                                     | C#           |         12 |          1 |          5 |         18 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/BuildingLogic.cs                                                                                                    | C#           |         12 |          1 |          5 |         18 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/BuildingManager.cs                                                                                                  | C#           |         30 |          1 |          8 |         39 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/CameraController.cs                                                                                                 | C#           |         83 |         33 |         33 |        149 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/CarouselItem.cs                                                                                                     | C#           |         28 |          1 |         10 |         39 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/CustomLogic.cs                                                                                                      | C#           |         13 |          1 |          6 |         20 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/Dialog.cs                                                                                                           | C#           |         23 |          1 |          8 |         32 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/ErrorDialogs.cs                                                                                                     | C#           |         27 |          2 |          9 |         38 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/Event.cs                                                                                                            | C#           |         14 |          0 |          4 |         18 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/EventBus.cs                                                                                                         | C#           |         52 |          0 |         12 |         64 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/FoodGenerator.cs                                                                                                    | C#           |         51 |          1 |         15 |         67 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/GameManager.cs                                                                                                      | C#           |         24 |          6 |          8 |         38 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/GlobalConstants.cs                                                                                                  | C#           |         30 |          1 |         11 |         42 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/Job.cs                                                                                                              | C#           |          9 |          0 |          2 |         11 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/JobManager.cs                                                                                                       | C#           |         36 |          0 |          9 |         45 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/LevelInfoManager.cs                                                                                                 | C#           |        170 |          8 |         46 |        224 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/LoginManager.cs                                                                                                     | C#           |         54 |          1 |         12 |         67 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/Lumberjack.cs                                                                                                       | C#           |         34 |          0 |          6 |         40 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/MapManager.cs                                                                                                       | C#           |         32 |          1 |         10 |         43 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/NetworkManager.cs                                                                                                   | C#           |         12 |          0 |          1 |         13 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/NetworkManagerFactory.cs                                                                                            | C#           |         11 |          0 |          3 |         14 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/NetworkManagerImpl.cs                                                                                               | C#           |        164 |          2 |         37 |        203 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/NetworkParser.cs                                                                                                    | C#           |         77 |          4 |         16 |         97 |
| /home/artem/Documents/GithubProjects/ProjectXClient/Assets/NewBehaviourScript.cs                                                                                               | C#           |         12 |          2 |          5 |         19 |
